CR,Title,Description,Assignee,State,Software Image,Domain,Issue Type,GIT commit id/Gerrit link,Build ID,   Created    on,Last Modified,History
201111,Unable to set volume in stereo case,Unable to set volume in stereo case,Tulasi,Closed,Built,Audio,Bug,https://github.com/ts-issue-tracker/Issue_Tracker/tree/27Aug,LE.UM.AU180_BUILD01,"17.09.2020, 16:38:34","17.09.2020, 16:38:34","['['[""['Created by Tulasi on18.09.2020, 16:46:47 ']"",    'Tulasi   ',    ' changed CR state to Analysis and SI state is changed to Analysis   ',    ' changed si state to Analysis and CR state is changed to Analysis   ',    'on   ',    '18.09.2020, 16:57:07   '] ',  'Tulasi ',  ' changed CR state to In-progress and SI state is changed to Fix ',  ' changed si state to Fix and CR state is changed to In-progress ',  'on ',  '18.09.2020, 16:57:48 ']','Tulasi', ' added git/gerrit id: https://github.com/ts-issue-tracker/Issue_Tracker/tree/31Aug', ' changed CR state to Reopen and SI state is changed to Built', ' changed si state to Built and CR state is changed to Reopen', 'on', '18.09.2020, 16:58:17']"
201112,Delay in capturing video ,while capturing video delay of 1ms,Srivalli,In-progress,Fix,Video,Internal,,LE.UM.AU213_BUILD23,"28.09.2020, 15:42:23","28.09.2020, 15:53:18","['[\'[\\\'[\\\\\\\'[""[\\\\\\\\\\\\\\\'Created by Srivalli and log file location is C:/Users/lenovo/PycharmProjects/pythonProject4/integration/Integratedcode28/Issue_Tracker/ITT_Integrated_code_24_Sep/cr_list_entry.xlsx on 28.09.2020, 15:42:23\\\\\\\\\\\\\\\']"", \\\\\\\\\\\\\\\'Srivalli\\\\\\\\\\\\\\\', \\\\\\\\\\\\\\\'Changed assignee to Srivalli\\\\\\\\\\\\\\\', \\\\\\\\\\\\\\\' changed CR state to Analysis and SI state is changed to Analysis\\\\\\\\\\\\\\\', \\\\\\\\\\\\\\\' changed issue type to Bug because Issue is internal\\\\\\\\\\\\\\\', \\\\\\\\\\\\\\\' changed si state to Analysis and CR state is changed to Analysis\\\\\\\\\\\\\\\', \\\\\\\\\\\\\\\'on\\\\\\\\\\\\\\\', \\\\\\\\\\\\\\\'28.09.2020, 15:48:30\\\\\\\\\\\\\\\']\\\\\\\', \\\\\\\'Srivalli\\\\\\\', \\\\\\\' changed CR state to Closed and SI state is changed to Duplicate\\\\\\\', \\\\\\\' changed si state to Duplicate and CR state is changed to Closed\\\\\\\', \\\\\\\'on\\\\\\\', \\\\\\\'28.09.2020, 15:51:30\\\\\\\']\\\', \\\'Srivalli\\\', \\\' changed CR state to Open and SI state is changed to Open\\\', \\\' changed si state to Open and CR state is changed to Open\\\', \\\'on\\\', \\\'28.09.2020, 15:52:30\\\']\', \'Srivalli\', \' changed CR state to Analysis and SI state is changed to Analysis\', \' changed si state to Analysis and CR state is changed to Analysis\', \'on\', \'28.09.2020, 15:53:00\']', 'Srivalli', ' changed CR state to In-progress and SI state is changed to Fix', ' changed si state to Fix and CR state is changed to In-progress', 'on', '28.09.2020, 15:53:18']"
201113,delay in capturing picture,delay in capturing picture,Pavani,Closed,Built,Camera,Blacklisting,https://github.com/ts-issue-tracker/Issue_Tracker/tree/31Aug,LE.UM.AU_201BUILD03,"28.09.2020, 15:53:48","28.09.2020, 15:55:40","['[\'[\\\'[""[\\\\\\\'Created by Pavani on 28.09.2020, 15:53:48\\\\\\\']"", \\\\\\\'Pavani\\\\\\\', \\\\\\\' changed CR state to Analysis and SI state is changed to Analysis\\\\\\\', \\\\\\\' changed si state to Analysis and CR state is changed to Analysis\\\\\\\', \\\\\\\'on\\\\\\\', \\\\\\\'28.09.2020, 15:54:38\\\\\\\']\\\', \\\'Pavani\\\', \\\' added git/gerrit id: https://github.com/ts-issue-tracker/Issue_Tracker/tree/27Aug\\\', \\\' changed CR state to In-progress and SI state is changed to Fix\\\', \\\' changed si state to Fix and CR state is changed to In-progress\\\', \\\'on\\\', \\\'28.09.2020, 15:54:47\\\']\', \'Pavani\', \' changed si state to Ready and CR state is changed to In-progress\', \'on\', \'28.09.2020, 15:55:18\']', 'Pavani', ' changed CR state to Closed and SI state is changed to Built', ' changed build id toLE.UM.AU_201BUILD03', ' changed si state to Built and CR state is changed to Closed', 'on', '28.09.2020, 15:55:40']"
201114,Unable to set volume in stereo case,Unable to set volume in stereo case,Tulasi,Closed,Built,Audio,Bug,https://github.com/ts-issue-tracker/Issue_Tracker/tree/30Aug,LE.UM.AU180_BUILD01,"17.09.2020, 16:38:34","17.09.2020, 16:38:34","['['[""['Created by Tulasi on18.09.2020, 16:46:47 ']"",    'Tulasi   ',    ' changed CR state to Analysis and SI state is changed to Analysis   ',    ' changed si state to Analysis and CR state is changed to Analysis   ',    'on   ',    '18.09.2020, 16:57:07   '] ',  'Tulasi ',  ' changed CR state to In-progress and SI state is changed to Fix ',  ' changed si state to Fix and CR state is changed to In-progress ',  'on ',  '18.09.2020, 16:57:48 ']','Tulasi', ' added git/gerrit id: https://github.com/ts-issue-tracker/Issue_Tracker/tree/31Aug', ' changed CR state to Reopen and SI state is changed to Built', ' changed si state to Built and CR state is changed to Reopen', 'on', '18.09.2020, 16:58:17']"
201115,Delay in capturing video ,while capturing video delay of 1ms,Srivalli,In-progress,Fix,Video,Bug,,LE.UM.AU213_BUILD23,"28.09.2020, 15:42:23","28.09.2020, 15:53:18","['[\'[\\\'[\\\\\\\'[""[\\\\\\\\\\\\\\\'Created by Srivalli and log file location is C:/Users/lenovo/PycharmProjects/pythonProject4/integration/Integratedcode28/Issue_Tracker/ITT_Integrated_code_24_Sep/cr_list_entry.xlsx on 28.09.2020, 15:42:23\\\\\\\\\\\\\\\']"", \\\\\\\\\\\\\\\'Srivalli\\\\\\\\\\\\\\\', \\\\\\\\\\\\\\\'Changed assignee to Srivalli\\\\\\\\\\\\\\\', \\\\\\\\\\\\\\\' changed CR state to Analysis and SI state is changed to Analysis\\\\\\\\\\\\\\\', \\\\\\\\\\\\\\\' changed issue type to Bug because Issue is internal\\\\\\\\\\\\\\\', \\\\\\\\\\\\\\\' changed si state to Analysis and CR state is changed to Analysis\\\\\\\\\\\\\\\', \\\\\\\\\\\\\\\'on\\\\\\\\\\\\\\\', \\\\\\\\\\\\\\\'28.09.2020, 15:48:30\\\\\\\\\\\\\\\']\\\\\\\', \\\\\\\'Srivalli\\\\\\\', \\\\\\\' changed CR state to Closed and SI state is changed to Duplicate\\\\\\\', \\\\\\\' changed si state to Duplicate and CR state is changed to Closed\\\\\\\', \\\\\\\'on\\\\\\\', \\\\\\\'28.09.2020, 15:51:30\\\\\\\']\\\', \\\'Srivalli\\\', \\\' changed CR state to Open and SI state is changed to Open\\\', \\\' changed si state to Open and CR state is changed to Open\\\', \\\'on\\\', \\\'28.09.2020, 15:52:30\\\']\', \'Srivalli\', \' changed CR state to Analysis and SI state is changed to Analysis\', \' changed si state to Analysis and CR state is changed to Analysis\', \'on\', \'28.09.2020, 15:53:00\']', 'Srivalli', ' changed CR state to In-progress and SI state is changed to Fix', ' changed si state to Fix and CR state is changed to In-progress', 'on', '28.09.2020, 15:53:18']"
201116,delay in capturing picture,delay in capturing picture,Pavani,Reopen,Open,Camera,Internal,https://github.com/ts-issue-tracker/Issue_Tracker/tree/29Aug,LE.UM.AU_201BUILD03,"28.09.2020, 15:53:48","29.09.2020, 14:24:03","['[\'[\\\'[\\\\\\\'[\\\\\\\\\\\\\\\'[\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\'[\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\'[""[\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\'Created by Pavani on 28.09.2020, 15:53:48\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\']"", \\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\'Pavani\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\', \\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\' changed CR state to Analysis and SI state is changed to Analysis\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\', \\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\' changed si state to Analysis and CR state is changed to Analysis\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\', \\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\'on\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\', \\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\'28.09.2020, 15:54:38\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\']\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\', \\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\'Pavani\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\', \\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\' added git/gerrit id: https://github.com/ts-issue-tracker/Issue_Tracker/tree/27Aug\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\', \\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\' changed CR state to In-progress and SI state is changed to Fix\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\', \\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\' changed si state to Fix and CR state is changed to In-progress\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\', \\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\'on\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\', \\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\'28.09.2020, 15:54:47\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\']\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\', \\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\'Pavani\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\', \\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\' changed si state to Ready and CR state is changed to In-progress\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\', \\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\'on\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\', \\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\'28.09.2020, 15:55:18\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\']\\\\\\\\\\\\\\\', \\\\\\\\\\\\\\\'Pavani\\\\\\\\\\\\\\\', \\\\\\\\\\\\\\\' changed CR state to Closed and SI state is changed to Built\\\\\\\\\\\\\\\', \\\\\\\\\\\\\\\' changed build id toLE.UM.AU_201BUILD03\\\\\\\\\\\\\\\', \\\\\\\\\\\\\\\' changed si state to Built and CR state is changed to Closed\\\\\\\\\\\\\\\', \\\\\\\\\\\\\\\'on\\\\\\\\\\\\\\\', \\\\\\\\\\\\\\\'28.09.2020, 15:55:40\\\\\\\\\\\\\\\']\\\\\\\', \\\\\\\'Pavani\\\\\\\', \\\\\\\' changed CR state to Open and SI state is changed to Open\\\\\\\', \\\\\\\' changed si state to Open and CR state is changed to Open\\\\\\\', \\\\\\\'on\\\\\\\', \\\\\\\'29.09.2020, 10:46:59\\\\\\\']\\\', \\\'Pavani\\\', \\\' changed CR state to Analysis and SI state is changed to Analysis\\\', \\\' changed si state to Analysis and CR state is changed to Analysis\\\', \\\'on\\\', \\\'29.09.2020, 11:58:24\\\']\', \'Pavani\', \' changed CR state to Closed and SI state is changed to Withdrawn\', \' changed si state to Withdrawn and CR state is changed to Closed\', \'on\', \'29.09.2020, 14:22:14\']', 'Pavani', ' changed CR state to Reopen and SI state is changed to Open', ' changed si state to Open and CR state is changed to Reopen', 'on', '29.09.2020, 14:24:03']"
201117,Blacklisting,Blacklisting cr,Pavani,Analysis,Analysis,Camera,Blacklisting,,LE.UM.AU.123_BUILD20,"28.09.2020, 17:17:16","28.09.2020, 17:19:50","[""['Created by Pavani on 28.09.2020, 17:17:16']"", 'Pavani', ' changed CR state to Analysis and SI state is changed to Analysis', ' changed si state to Analysis and CR state is changed to Analysis', 'on', '28.09.2020, 17:19:50']"
201118,blacklisting,blacklisting,santhoshi,Closed,Built,Camera,Bug,https://github.com/ts-issue-tracker/Issue_Tracker/tree/28Aug,LE.UM.AU.123_BUILD90,"07.10.2020, 15:30:24","07.10.2020, 15:32:55","['[\'[\\\'[\\\\\\\'[\\\\\\\\\\\\\\\'[\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\'[""[\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\'Created by santhoshi and log file location is C:/Users/lenovo/PycharmProjects/pythonProject4/integration/07102020/Issue_Tracker/ITT_Integrated_code_24_Sep/cr_list_entry.xlsx on 07.10.2020, 15:30:24\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\']"", \\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\'santhoshi\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\', \\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\' changed CR state to Analysis and SI state is changed to Analysis\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\', \\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\' changed si state to Analysis and CR state is changed to Analysis\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\', \\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\'on\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\', \\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\'07.10.2020, 15:31:14\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\']\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\', \\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\'santhoshi\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\', \\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\' changed CR state to Closed and SI state is changed to Withdrawn\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\', \\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\' changed si state to Withdrawn and CR state is changed to Closed\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\', \\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\'on\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\', \\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\'07.10.2020, 15:31:27\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\']\\\\\\\\\\\\\\\', \\\\\\\\\\\\\\\'santhoshi\\\\\\\\\\\\\\\', \\\\\\\\\\\\\\\'Attached log file C:/Users/lenovo/PycharmProjects/pythonProject4/integration/07102020/Issue_Tracker/ITT_Integrated_code_24_Sep/cr_list_entry.csv\\\\\\\\\\\\\\\', \\\\\\\\\\\\\\\' changed CR state to Reopen and SI state is changed to Open\\\\\\\\\\\\\\\', \\\\\\\\\\\\\\\' changed si state to Open and CR state is changed to Reopen\\\\\\\\\\\\\\\', \\\\\\\\\\\\\\\'on\\\\\\\\\\\\\\\', \\\\\\\\\\\\\\\'07.10.2020, 15:31:53\\\\\\\\\\\\\\\']\\\\\\\', \\\\\\\'santhoshi\\\\\\\', \\\\\\\' changed CR state to Analysis and SI state is changed to Analysis\\\\\\\', \\\\\\\' changed si state to Analysis and CR state is changed to Analysis\\\\\\\', \\\\\\\'on\\\\\\\', \\\\\\\'07.10.2020, 15:32:22\\\\\\\']\\\', \\\'santhoshi\\\', \\\' added git/gerrit id: git201\\\', \\\' changed CR state to In-Progress and SI state is changed to Fix\\\', \\\' changed si state to Fix and CR state is changed to In-Progress\\\', \\\'on\\\', \\\'07.10.2020, 15:32:30\\\']\', \'santhoshi\', \' changed CR state to In-Progress and SI state is changed to Ready\', \' changed si state to Ready and CR state is changed to In-Progress\', \'on\', \'07.10.2020, 15:32:44\']', 'santhoshi', ' changed CR state to Closed and SI state is changed to Built', ' changed build id tob2', ' changed si state to Built and CR state is changed to Closed', 'on', '07.10.2020, 15:32:55']"
201119,"blacklisting	","blacklisting	",tulasi,In-progress,Ready,Camera,Bug,https://github.com/ts-issue-tracker/Issue_Tracker/tree/Sep-3,LE.UM.AU.123_BUILD98,"12.10.2020, 18:42:54","13.10.2020, 17:23:33","['[\'[""[\\\'Created by tulasi and log file location is C:/Users/lenovo/PycharmProjects/pythonProject4/integration/07102020/Issue_Tracker/ITT_Integrated_code_24_Sep/cr_list.csv on 12.10.2020, 18:42:54\\\']"", \\\'tulasi\\\', \\\' changed CR state to Analysis and SI state is changed to Analysis\\\', \\\' changed si state to Analysis and CR state is changed to Analysis\\\', \\\'on\\\', \\\'12.10.2020, 18:44:41\\\']\', \'tulasi\', \' added git/gerrit id: git\', \' changed CR state to In-progress and SI state is changed to Fix\', \' changed si state to Fix and CR state is changed to In-progress\', \'on\', \'12.10.2020, 18:47:28\']', 'tulasi', 'Attached log file C:/Users/lenovo/PycharmProjects/pythonProject4/integration/13102020/Issue_Tracker/ITT_Integrated_code_24_Sep/cr_list_entry.xlsx', ' changed CR state to In-progress and SI state is changed to Ready', ' changed si state to Ready and CR state is changed to In-progress', 'on', '13.10.2020, 17:23:33']"
201120,"Audio not supporting for dobly DTS format	",Audio not supporting for dobly DTS format,Santhoshi,Closed,Built,Video,Internal,https://github.com/ts-issue-tracker/Issue_Tracker/tree/Sep-7,LE.UM.AU.123_BUILD07,"13.10.2020, 17:19:09","13.10.2020, 17:23:50","['[\'[\\\'[\\\\\\\'[\\\\\\\\\\\\\\\'[\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\'[""[\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\'Created by Santhoshi and log file location is C:/Users/lenovo/PycharmProjects/pythonProject4/integration/13102020/Issue_Tracker/ITT_Integrated_code_24_Sep/CR_Data.xls on 13.10.2020, 17:19:09\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\']"", \\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\'Santhoshi\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\', \\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\' changed CR state to Analysis and SI state is changed to Analysis\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\', \\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\' changed si state to Analysis and CR state is changed to Analysis\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\', \\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\'on\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\', \\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\'13.10.2020, 17:21:35\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\']\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\', \\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\'Santhoshi\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\', \\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\' changed CR state to Closed and SI state is changed to Withdrawn\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\', \\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\' changed si state to Withdrawn and CR state is changed to Closed\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\', \\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\'on\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\', \\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\'13.10.2020, 17:21:52\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\']\\\\\\\\\\\\\\\', \\\\\\\\\\\\\\\'Santhoshi\\\\\\\\\\\\\\\', \\\\\\\\\\\\\\\' changed CR state to Reopen and SI state is changed to Open\\\\\\\\\\\\\\\', \\\\\\\\\\\\\\\' changed si state to Open and CR state is changed to Reopen\\\\\\\\\\\\\\\', \\\\\\\\\\\\\\\'on\\\\\\\\\\\\\\\', \\\\\\\\\\\\\\\'13.10.2020, 17:22:21\\\\\\\\\\\\\\\']\\\\\\\', \\\\\\\'Santhoshi\\\\\\\', \\\\\\\' changed CR state to Analysis and SI state is changed to Analysis\\\\\\\', \\\\\\\' changed issue type to Internal because changed\\\\\\\', \\\\\\\' changed si state to Analysis and CR state is changed to Analysis\\\\\\\', \\\\\\\'on\\\\\\\', \\\\\\\'13.10.2020, 17:22:43\\\\\\\']\\\', \\\'Santhoshi\\\', \\\' added git/gerrit id: git\\\', \\\' changed CR state to In-progress and SI state is changed to Fix\\\', \\\' changed si state to Fix and CR state is changed to In-progress\\\', \\\'on\\\', \\\'13.10.2020, 17:23:07\\\']\', \'Santhoshi\', \' changed CR state to In-progress and SI state is changed to Ready\', \' changed si state to Ready and CR state is changed to In-progress\', \'on\', \'13.10.2020, 17:23:20\']', 'Santhoshi', ' changed CR state to Closed and SI state is changed to Built', ' changed build id tob2', ' changed si state to Built and CR state is changed to Closed', 'on', '13.10.2020, 17:23:50']"
201121,HD format selection is not happening	,HD format selection is not happening,Srivalli,Open,Open,Camera,Bug,,LE.UM.AU180_BUILD03,"13.10.2020, 17:58:24","13.10.2020, 17:58:24","['Created by Srivalli on 13.10.2020, 17:58:24']"
201122,Front camera is not getting  opened,Front camera is not getting  opened,Srivalli,Open,Open,Camera,Internal,,LE.UM.AU.123_BUILD06,"13.10.2020, 17:59:34","13.10.2020, 17:59:34","['Created by Srivalli on 13.10.2020, 17:59:34']"
